CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Potnuru B.O,531219,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.0203750,83.3214860
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Sirlapalem B.O,531219,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9639010,83.3081170
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Durganagar B.O,530029,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7640770,83.2179350
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Chintalaagaraharam B.O,530047,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7848330,83.1997300
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Porlupalem B.O,530047,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7736880,83.1952410
Andhra Pradesh Circle,Visakhapatnam Region,Vizianagaram Division,B.Tallavalasa B.O,535005,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9037630,83.4029740
Andhra Pradesh Circle,Visakhapatnam Region,Vizianagaram Division,Bhandevpuram B.O,535250,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9970530,83.2970860
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Sagar Nagar B.O,530045,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7651570,83.3562310
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Gayatri Engg College B.O,530048,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8214600,83.3411130
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Tarluvada B.O,530052,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9008520,83.3174760
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Jaggayyapalem B.O,530012,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7383560,83.3015400
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Kapuluppada B.O,531163,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8353450,83.3842810
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Vellanki B.O,531163,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8814400,83.3925640
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Sangivalasa B.O,531162,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9232370,83.4208330
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Chippada B.O,531162,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9332100,83.4566860
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Dakamarri B.O,531162,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9884500,83.4009710
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Chammachinta B.O,531115,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5933800,82.4671520
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Golugondapeta B.O,531115,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5110675,82.4441624
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Gunupudi B.O,531115,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.4999611,82.4530154
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,M B Patnam B.O,531115,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5119880,82.4907521
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,P Kotha Gudem B.O,531115,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.4999611,82.4530154
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Pedajaggampeta B.O,531115,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.4721781,82.4309186
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Sarugudu B.O,531115,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5379880,82.4021320
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Srungavaram B.O,531115,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5221934,82.5141070
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Minimuluru B.O,531024,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.0356406,82.7007094
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Vanugupalli B.O,531024,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.0285611,82.6809199
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Modapalli B.O,531024,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.7445820,79.9278960
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Aduguluputtu B.O,531040,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.2950436,82.5611472
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Makavaram B.O,531040,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.4625066,82.5109000
